	America - Brazil - Karitiana	America - Brazil - Surui	America - Colombia - Colombians	America - Mexico - Maya	America - Mexico - Pima	Asia - Cambodia - Cambodians	Asia - China - Dai	Asia - China - Daur	Asia - China - Han	Asia - China - Hezhen	Asia - China - Lahu	Asia - China - Miaozu	Asia - China - Mongola	Asia - China - Naxi	Asia - China - Oroqen	Asia - China - She	Asia - China - Tu	Asia - China - Tujia	Asia - China - Uygur	Asia - China - Xibo	Asia - China - Yizu	Asia - Japan - Japanese	Asia - Pakistan - Balochi	Asia - Pakistan - Brahui	Asia - Pakistan - Burusho	Asia - Pakistan - Hazara	Asia - Pakistan - Kalash	Asia - Pakistan - Makrani	Asia - Pakistan - Pathan	Asia - Pakistan - Sindhi	Asia - Siberia - Yakut	Europe - France - French	Europe - France - French_Basque	Europe - Italy - Sardinian	Europe - Italy_(Bergamo) - North_Italian	Europe - Orkney_Islands - Orcadian	Europe - Russia - Russian	Europe - Russia_Caucasus - Adygei	Middle_Est - Israel_(Carmel) - Druze	Middle_Est - Israel_(Central) - Palestinian	Middle_Est - Israel_(Negev) - Bedouin	North_Africa - Algeria_(Mzab) - Mozabite	Oceania - Bougainville - NAN_Melanesian	Oceania - New_Guinea - Papuan	Subsaharian_Africa - Central_African_Republic - Biaka_Pygmies	Subsaharian_Africa - Democratic_Republic_of_Congo - Mbuti_Pygmies	Subsaharian_Africa - Kenya - Bantu_N.E.	Subsaharian_Africa - Nigeria - Yoruba	Subsaharian_Africa - Senegal - Mandenka
America - Brazil - Karitiana	0.0	0.285794514971	0.322714034409	0.365270796512	0.314177606248	0.504015148593	0.398568275551	0.370915631632	0.466378510763	0.381558087457	0.408075879365	0.394871320332	0.379696427003	0.393806110911	0.377353306635	0.403887181411	0.385696768916	0.390702116547	0.382767808449	0.376100437357	0.39270192743	0.484588434161	0.557764067472	0.557509926073	0.541219065449	0.5248705054	0.54921492036	0.560547003205	0.549328565515	0.553131115797	0.494292697596	0.560923422931	0.460641240946	0.512746808448	0.452550663534	0.557557646407	0.549791770175	0.434635253063	0.57001395774	0.572220695582	0.573067393476	0.476248780279	0.527173368096	0.530770799684	0.604364408088	0.616605043473	0.531574626039	0.623848127967	0.598158277325
America - Brazil - Surui	0.397504229701	0.0	0.438066682961	0.367785188992	0.424266264431	0.596780307261	0.495572462912	0.474479599296	0.548896506479	0.481729471395	0.50540899615	0.493360555935	0.477546621102	0.491656710289	0.47784127224	0.502535597148	0.483404201495	0.489085939217	0.479013392567	0.474235737302	0.489447729549	0.584010160154	0.636994508869	0.637015031893	0.625220631874	0.613498263137	0.632167621472	0.639719397229	0.630016522371	0.633206642553	0.484565352595	0.639948813623	0.541281570727	0.591760797194	0.533591570868	0.636043876891	0.518261534055	0.51989271205	0.644863576119	0.648727862539	0.649593654041	0.554022500781	0.604437463186	0.614954814166	0.666898464435	0.67651290294	0.605051432341	0.614241494177	0.614453723528
America - Colombia - Colombians	0.260843660525	0.273027151858	0.0	0.192466242269	0.261399062463	0.379271929336	0.354846002504	0.328124485223	0.356007357738	0.337167474135	0.363624017036	0.351679385289	0.329986884283	0.348713179345	0.334908197466	0.358874175837	0.33806526843	0.347969082644	0.332813042093	0.32896736453	0.349073447628	0.365399096811	0.496466131945	0.496392963937	0.477947625537	0.459069296496	0.4850861333	0.50110167549	0.486449518015	0.490808456373	0.344336744242	0.500405530358	0.410696444044	0.45837750583	0.403005074848	0.412978644201	0.390237829605	0.385685009369	0.508651313617	0.481833560766	0.513902502458	0.428523106392	0.457734941725	0.464136456699	0.549605079362	0.560725764168	0.488949738621	0.506541823206	0.505887499896
America - Mexico - Maya	0.167217194882	0.0167202078565	0.0291777395296	0.0	0.151563087859	0.278869786538	0.243332406032	0.215770243554	0.250880429128	0.222671364008	0.254665698261	0.241894621446	0.215527792742	0.23599571657	0.219803301893	0.245925673424	0.22277464811	0.235262578638	0.208136497494	0.21627424401	0.236443773559	0.254727869464	0.349722380246	0.349151897074	0.326672716358	0.30643799671	0.33725612402	0.35530284128	0.337334561189	0.343457533498	0.223757739153	0.350676977806	0.286549614065	0.326636202029	0.278077097775	0.346090205547	0.25552133041	0.259085369619	0.362310239211	0.368559316494	0.370535029397	0.307400185692	0.320361109331	0.317286003542	0.439183027417	0.450240887741	0.385704517126	0.400382571953	0.401257233536
America - Mexico - Pima	0.213811192631	0.217641056133	0.224180270239	0.258704300789	0.0	0.408528825304	0.320542661591	0.296399450823	0.379178636252	0.305850485177	0.330640032428	0.322538703053	0.29935393211	0.31963808573	0.302297475526	0.325651336912	0.308060980166	0.317681888839	0.306695384747	0.298800296629	0.317104203795	0.388991720933	0.474618638318	0.473240542748	0.454553187999	0.434725394183	0.463095002787	0.477672529227	0.463379529087	0.468321475628	0.396380750828	0.479713461215	0.3887274701	0.43539047239	0.378901199622	0.474930862988	0.466181704547	0.361050890533	0.486780774924	0.49074084176	0.492564000753	0.403321267721	0.442091444794	0.44497471051	0.536745685963	0.548265789748	0.470012910738	0.555135617385	0.530055026786
Asia - Cambodia - Cambodians	0.31774096098	0.342505992274	0.217619456203	0.24394862328	0.290260011398	0.0	0.110360761105	0.129834019209	0.116936464326	0.140531905168	0.137322910851	0.125467019417	0.130172150016	0.129387062861	0.143922616011	0.128636131191	0.127353452877	0.122380243481	0.154848346095	0.132330684231	0.132319928919	0.142874925122	0.284290051915	0.283133810338	0.254796432459	0.218234787436	0.273737583985	0.292892302199	0.26882378664	0.274955594176	0.168379184392	0.298870378245	0.270807215667	0.288417173943	0.258843345258	0.253414766038	0.242446026603	0.237646327657	0.302490740707	0.283373985462	0.311557163579	0.281257481033	0.243555378959	0.210910732038	0.391708920065	0.39747321421	0.347540973659	0.364967230589	0.366982719862
Asia - China - Dai	0.204436499125	0.209036426191	0.218034341575	0.237130269378	0.215964881139	0.144496951331	0.0	0.153913432418	0.121403768331	0.150176944618	0.138868788242	0.114274314752	0.159090982456	0.133674505428	0.153301125198	0.123376918803	0.136374035179	0.110586534139	0.250266526792	0.149049254212	0.135834725057	0.140034263273	0.331079670244	0.330579466484	0.301705144117	0.257201035132	0.320438393161	0.33893215716	0.316808680658	0.321115441447	0.192138882629	0.344924450398	0.30659230627	0.349762959976	0.346881559171	0.342461034257	0.331391810587	0.272220634453	0.349041340512	0.352341099912	0.356990495902	0.368251733393	0.237245321251	0.254410489066	0.427258478416	0.42036712886	0.375375915594	0.429199161588	0.426349865223
Asia - China - Daur	0.168586364427	0.176683142317	0.186358983438	0.210034187195	0.188816284058	0.163955366399	0.154653942232	0.0	0.125815551578	0.128505343344	0.172653261061	0.118217167576	0.12744788033	0.147266998859	0.108887775134	0.15160413976	0.137582363951	0.112772964591	0.172274316069	0.12772000521	0.123960177085	0.118161506497	0.317298457287	0.315615442146	0.286924005512	0.232305359512	0.305135524873	0.325082193264	0.300573533407	0.307862911705	0.14773629123	0.328753170017	0.299439672936	0.33448112691	0.329020830331	0.325950439455	0.311194262189	0.266919969282	0.333841504991	0.338248734269	0.340900821982	0.311718425474	0.238682578764	0.252224220163	0.419408991036	0.411842510556	0.380185339106	0.421749750742	0.416411787809
Asia - China - Han	0.225152107707	0.223523145291	0.14315982471	0.170930345197	0.213616116904	0.0678319544159	0.0355405691675	0.0395428969809	0.0	0.0460989714381	0.0655402154579	0.0343879520054	0.0425256924896	0.0391953943739	0.052974494024	0.034632689815	0.0370447246092	0.0269353649108	0.0906063216436	0.0407335161968	0.0410044063936	0.0358649529197	0.26133016717	0.260230219194	0.227023652109	0.172523599273	0.246186764511	0.269203432396	0.243376523129	0.250904618975	0.091202180999	0.274608921503	0.233687675271	0.262966856923	0.236138250068	0.25592204623	0.227925603006	0.196863277198	0.279817344296	0.28355678831	0.287673674235	0.260013592119	0.186456261962	0.180130912102	0.366823634063	0.369887261684	0.316465294354	0.352020406838	0.348532037111
Asia - China - Hezhen	0.182752521455	0.188141453247	0.197409052985	0.217082370264	0.199811133821	0.174335621542	0.151025459964	0.128612843609	0.131889825403	0.0	0.166793147951	0.129637632474	0.138694137792	0.142023628177	0.120647135013	0.142696947185	0.132286888548	0.122175641372	0.165953133788	0.120645552632	0.133724817066	0.128297879915	0.324123446168	0.324819124163	0.292954534054	0.242502544273	0.311822542247	0.333039501523	0.309016758938	0.315587511144	0.158301922266	0.336440469734	0.297371973294	0.341421256707	0.336722600246	0.333792984564	0.317683217645	0.263280539092	0.342460715691	0.345389979213	0.349461235649	0.309270131525	0.24688717686	0.254503209308	0.423728195679	0.41704862146	0.375212695622	0.425884149731	0.418478404749
